,0
0,
1,0.005336378646281857
2,0.002145412506179183
3,0.0033520191891240093
4,0.005947737308748927
5,0.003341086433991045
6,0.0007166477648258669
7,0.0030294686698643346
8,0.0011445014935241983
9,0.0029117090602319125
10,0.001031987500669765
11,
12,
13,
14,
15,
